timestamps,TP9,AF7,AF8,TP10,Right AUX
1595685540.241,1.465,-22.949,-37.109,-29.297,0.000
1595685540.245,-4.883,-27.832,-36.621,-39.551,0.000
1595685540.249,7.324,-31.738,-39.551,-15.625,0.000
1595685540.253,2.930,-35.156,-43.945,-6.348,0.000
1595685540.257,-7.812,-36.621,-42.480,-16.113,0.000
1595685540.261,-10.254,-35.645,-42.480,-30.273,0.000
1595685540.264,-21.973,-37.109,-43.457,-30.273,0.000
1595685540.268,-13.672,-36.621,-45.898,-20.996,0.000
1595685540.272,-1.465,-38.574,-46.387,-20.996,0.000
1595685540.276,16.113,-12.207,-18.555,0.000,0.000
1595685540.280,39.551,20.020,12.207,19.531,0.000
1595685540.284,24.902,9.277,2.441,1.953,0.000
1595685540.288,9.766,-11.230,-17.578,-10.742,0.000
1595685540.292,9.277,-25.879,-25.391,-13.672,0.000
1595685540.296,-1.465,-35.156,-34.668,-24.902,0.000
1595685540.300,-13.672,-35.645,-39.551,-37.109,0.000
1595685540.303,-18.066,-30.273,-28.320,-41.504,0.000
1595685540.307,-18.555,-27.344,-29.297,-31.250,0.000
1595685540.311,-3.418,-25.391,-37.109,-14.648,0.000
1595685540.315,6.836,-30.762,-36.133,-15.625,0.000
1595685540.319,-1.465,-35.645,-32.715,-26.855,0.000
1595685540.323,-3.906,-33.691,-32.227,-30.273,0.000
1595685540.327,-5.371,-40.527,-35.645,-20.508,0.000
1595685540.331,-2.930,-39.551,-36.621,-4.883,0.000
1595685540.335,-1.953,-34.180,-32.715,-4.395,0.000
1595685540.339,-4.395,-41.016,-36.133,-23.926,0.000
1595685540.343,-17.090,-44.922,-41.992,-34.180,0.000
1595685540.346,-21.484,-44.434,-41.992,-22.461,0.000
1595685540.350,-13.184,-43.457,-41.016,-14.160,0.000
1595685540.354,1.953,-41.016,-37.598,-17.090,0.000
1595685540.358,-5.371,-44.434,-35.156,-26.367,0.000
1595685540.362,-26.855,-54.199,-39.062,-36.133,0.000
1595685540.366,-26.367,-54.199,-36.133,-34.668,0.000
1595685540.370,-5.371,-42.480,-33.691,-18.555,0.000
1595685540.374,6.836,-42.480,-38.574,-13.672,0.000
1595685540.378,-10.254,-50.293,-41.016,-21.973,0.000
1595685540.382,-20.508,-46.387,-37.598,-36.621,0.000
1595685540.386,-7.812,-43.945,-35.645,-36.621,0.000
1595685540.389,7.324,-43.945,-38.086,-17.578,0.000
1595685540.393,13.184,-36.133,-35.645,-10.254,0.000
1595685540.397,1.465,-31.250,-29.785,-27.832,0.000
1595685540.401,-13.672,-29.785,-30.762,-41.992,0.000
1595685540.405,-17.578,-31.738,-39.062,-35.156,0.000
1595685540.409,-11.230,-39.551,-42.969,-28.809,0.000
1595685540.413,9.277,-39.551,-38.086,-13.672,0.000
1595685540.417,20.508,-32.227,-33.691,0.488,0.000
1595685540.421,-3.418,-37.109,-32.227,-19.531,0.000
1595685540.425,-13.672,-41.992,-35.156,-34.180,0.000
1595685540.428,-3.906,-40.527,-41.016,-27.832,0.000
1595685540.432,10.254,-37.109,-43.457,-19.043,0.000
1595685540.436,17.090,-35.156,-47.363,-16.602,0.000
1595685540.440,-18.555,-41.504,-52.246,-39.551,0.000
1595685540.444,-32.227,-39.551,-45.410,-48.828,0.000
1595685540.448,-10.742,-32.715,-41.504,-21.973,0.000
1595685540.452,7.324,-29.297,-40.039,-7.812,0.000
1595685540.456,5.371,-30.273,-43.457,-18.066,0.000
1595685540.460,-14.160,-30.273,-45.410,-30.762,0.000
1595685540.464,-14.160,-21.484,-41.992,-30.273,0.000
1595685540.468,-0.488,-17.090,-43.945,-18.555,0.000
1595685540.471,14.160,-22.461,-46.875,-13.184,0.000
1595685540.475,6.836,-31.250,-48.828,-24.902,0.000
1595685540.479,-17.578,-34.668,-56.152,-41.992,0.000
1595685540.483,-23.438,-33.691,-57.129,-42.480,0.000
1595685540.487,-18.066,-36.621,-51.270,-33.691,0.000
1595685540.491,-13.184,-40.039,-46.875,-28.320,0.000
1595685540.495,-12.695,-35.645,-45.410,-32.227,0.000
1595685540.499,-19.043,-36.133,-43.945,-48.828,0.000
1595685540.503,-15.137,-39.062,-41.504,-56.152,0.000
1595685540.507,-11.230,-35.156,-38.574,-41.504,0.000
1595685540.511,-6.836,-32.227,-33.203,-17.090,0.000
1595685540.514,-6.348,-38.574,-36.621,-24.902,0.000
1595685540.518,-13.184,-40.039,-41.016,-46.875,0.000
1595685540.522,-17.578,-37.109,-40.527,-54.688,0.000
1595685540.526,-19.043,-38.086,-36.133,-39.551,0.000
1595685540.530,-12.207,-41.992,-39.062,-18.066,0.000
1595685540.534,-2.441,-41.992,-47.852,-26.855,0.000
1595685540.538,-9.277,-41.504,-48.828,-43.457,0.000
1595685540.542,-27.344,-41.992,-48.828,-58.105,0.000
1595685540.546,-28.809,-39.062,-50.781,-55.664,0.000
1595685540.550,-6.836,-35.156,-49.316,-37.109,0.000
1595685540.553,8.301,-30.273,-43.945,-36.133,0.000
1595685540.557,0.977,-34.180,-44.434,-54.199,0.000
1595685540.561,-8.789,-42.969,-47.363,-69.824,0.000
1595685540.565,-11.719,-42.480,-46.387,-58.105,0.000
1595685540.569,-13.184,-40.039,-47.363,-36.621,0.000
1595685540.573,-6.348,-39.062,-50.781,-24.414,0.000
1595685540.577,-8.789,-41.016,-49.316,-38.574,0.000
1595685540.581,-18.555,-36.133,-45.410,-59.082,0.000
1595685540.585,-27.344,-38.086,-44.922,-53.223,0.000
1595685540.589,-15.625,-49.805,-40.527,-32.715,0.000
1595685540.593,0.977,-50.781,-37.109,-20.996,0.000
1595685540.596,0.488,-45.410,-36.621,-20.508,0.000
1595685540.600,-12.207,-41.992,-39.062,-31.250,0.000
1595685540.604,-14.648,-41.504,-41.504,-34.668,0.000
1595685540.608,-11.719,-36.621,-40.039,-21.484,0.000
1595685540.612,3.906,-36.133,-44.434,-9.277,0.000
1595685540.616,13.184,-38.574,-45.410,-10.742,0.000
1595685540.620,-8.301,-35.645,-39.551,-11.230,0.000
1595685540.624,-15.137,-32.227,-40.039,-25.391,0.000
1595685540.628,-8.789,-30.273,-41.016,-31.738,0.000
1595685540.632,-3.906,-31.738,-38.086,-15.137,0.000
1595685540.636,-0.488,-31.250,-38.574,-15.625,0.000
1595685540.639,-5.859,-30.273,-36.621,-20.996,0.000
1595685540.643,-7.812,-23.926,-31.738,-22.461,0.000
1595685540.647,2.441,-25.391,-35.645,-24.414,0.000
1595685540.651,18.066,-33.203,-44.434,-12.695,0.000
1595685540.655,20.508,-32.715,-42.480,-12.695,0.000
1595685540.659,4.395,-32.227,-38.086,-25.879,0.000
1595685540.663,-7.324,-42.969,-36.133,-33.691,0.000
1595685540.667,-0.488,-61.523,-40.527,-21.484,0.000
1595685540.671,14.648,-64.941,-43.457,-4.395,0.000
1595685540.675,16.602,-59.570,-41.504,-21.973,0.000
1595685540.678,4.883,-54.688,-36.621,-38.086,0.000
1595685540.682,-7.324,-50.781,-32.715,-37.109,0.000
1595685540.686,-8.301,-48.828,-35.645,-30.762,0.000
1595685540.690,3.906,-48.340,-39.551,-24.414,0.000
1595685540.694,5.859,-53.223,-39.062,-22.461,0.000
1595685540.698,-3.906,-58.594,-36.133,-27.344,0.000
