timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686201.132,-28.809,-12.207,-41.504,9.766,0.000
1595686201.135,-24.902,-15.137,-37.598,14.160,0.000
1595686201.139,-26.855,-12.695,-36.621,2.441,0.000
1595686201.143,-36.133,-17.090,-36.133,-3.418,0.000
1595686201.147,-32.227,-22.461,-34.668,-0.488,0.000
1595686201.151,-18.066,-20.996,-29.785,7.324,0.000
1595686201.155,-16.113,-20.508,-29.785,5.859,0.000
1595686201.159,-22.949,-21.484,-32.227,2.930,0.000
1595686201.163,-29.297,-21.484,-36.133,-7.324,0.000
1595686201.167,-33.691,-22.461,-35.156,-2.930,0.000
1595686201.171,-27.832,-25.391,-35.645,7.324,0.000
1595686201.175,-15.625,-24.414,-31.738,8.789,0.000
1595686201.178,-25.391,-18.555,-25.879,7.812,0.000
1595686201.182,-41.016,-20.020,-29.785,4.395,0.000
1595686201.186,-37.598,-21.973,-31.738,8.789,0.000
1595686201.190,-29.297,-14.160,-30.273,5.859,0.000
1595686201.194,-24.414,-13.184,-25.391,5.371,0.000
1595686201.198,-23.438,-12.207,-23.438,3.906,0.000
1595686201.202,-28.320,-6.348,-28.809,1.465,0.000
1595686201.206,-35.645,-10.254,-30.273,-4.395,0.000
1595686201.210,-35.645,-16.602,-30.273,-8.301,0.000
1595686201.214,-22.461,-21.484,-34.180,-3.418,0.000
1595686201.218,-26.367,-24.902,-31.738,-1.953,0.000
1595686201.221,-41.016,-25.391,-29.785,3.418,0.000
1595686201.225,-39.551,-24.414,-33.691,3.418,0.000
1595686201.229,-37.109,-23.926,-35.645,-1.465,0.000
1595686201.233,-29.785,-21.973,-37.109,0.488,0.000
1595686201.237,-18.555,-23.926,-33.691,1.465,0.000
1595686201.241,-27.832,-25.879,-26.855,0.000,0.000
1595686201.245,-37.109,-24.902,-25.391,-2.441,0.000
1595686201.249,-31.250,-26.367,-28.809,-0.977,0.000
1595686201.253,-26.855,-26.855,-26.855,5.859,0.000
1595686201.257,-26.855,-27.344,-26.367,-0.977,0.000
1595686201.260,-36.133,-20.996,-31.250,-16.602,0.000
1595686201.264,-45.410,-19.043,-40.527,-23.438,0.000
1595686201.268,-35.645,-20.996,-38.086,-10.742,0.000
1595686201.272,-22.461,-15.625,-29.785,2.441,0.000
1595686201.276,-27.832,-19.043,-33.691,5.859,0.000
1595686201.280,-36.621,-15.137,-32.227,4.883,0.000
1595686201.284,-37.109,-10.254,-25.879,-4.883,0.000
1595686201.288,-29.785,-12.695,-20.508,-2.930,0.000
1595686201.292,-14.648,-13.672,-20.508,6.836,0.000
1595686201.296,-10.742,-18.066,-20.020,5.859,0.000
1595686201.300,-21.484,-18.066,-19.531,4.395,0.000
1595686201.303,-35.156,-14.160,-20.996,-5.371,0.000
1595686201.307,-35.645,-10.254,-20.508,-10.254,0.000
1595686201.311,-26.367,-11.719,-19.531,-0.977,0.000
1595686201.315,-27.832,-13.184,-19.531,-0.977,0.000
1595686201.319,-31.738,-7.812,-21.484,-8.789,0.000
1595686201.323,-36.133,-7.812,-20.020,-12.207,0.000
1595686201.327,-33.203,-9.766,-17.090,-5.371,0.000
1595686201.331,-26.367,-12.207,-17.090,5.859,0.000
1595686201.335,-23.926,-10.742,-20.020,5.371,0.000
1595686201.339,-24.902,-10.254,-25.879,2.930,0.000
1595686201.343,-37.109,-10.742,-30.273,-1.953,0.000
1595686201.346,-39.551,-11.719,-30.762,-9.277,0.000
1595686201.350,-29.297,-16.113,-31.738,-12.695,0.000
1595686201.354,-20.020,-19.043,-30.762,-9.766,0.000
1595686201.358,-18.066,-16.602,-31.250,-8.789,0.000
